EMA21
257823.780783
257930.709803
258073.372548
258066.702317
258197.002106
258224.547369
258295.043063
258404.584603
258572.349639
258702.136035
258888.305487
259034.823170
259190.748336
259287.043942
259533.676311
259803.342101
260093.947364
260289.952149
260445.411045
260518.555495
260607.777723
260597.979748
260452.708862
260411.553511
260283.230464
260234.754968
260145.231789
260132.028899
260029.117181
259958.288346
259939.353042
259763.048220
259625.498382
259432.271256
259302.064778
259229.149799
259185.590726
259077.809751
258957.099773
258892.817976
258879.834524
258799.849567
258704.408697
258504.007906
258344.552642
258176.866038
258069.878217
257995.343833
257791.221667
257719.292424
257699.356749
257726.687954
257728.807231
257708.006574
257643.642340
257630.583945
257686.894496
257760.813178
257805.284707
257868.440643
257880.400584
257914.000531
257990.000483
258081.818621
258119.835110
258199.850100
258295.318273
258359.380248
258372.163862
258292.876238
258152.614762
258047.831602
257975.301456
257863.910414
257876.282195
257842.074723
257765.522475
257786.838614
257851.671467
257842.428606
257788.571460
257762.337691
257715.761538
257696.146852
257655.588048
257550.534589
257500.485990
257409.532718
257372.302471
257383.911337
257439.919397
257513.563089
257603.239171
257662.035610
257738.214191
257762.012901
257806.375365
257778.523059
257798.657326
257794.233933
257812.939939
257784.490854
257804.082594
257799.165995
257885.605450
257986.914045
258147.194587
258270.176897
258427.433543
258524.939584
258659.035986
258803.669078
258912.426434
259079.478577
259208.616888
259371.469898
259564.972635
259763.611486
259921.464987
260019.513625
260154.103295
260299.184814
260521.986194
260747.260177
260929.327433
261140.297667
261354.816061
261527.105510
261706.459554
261914.963231
262127.239301
262297.490274
262429.536612
262481.396920
262573.997200
262612.724728
262670.658843
262700.598948
262773.271771
262816.610701
262833.282456
262871.165869
262928.332608
263025.756916
263068.869924
263153.518113
263207.743739
263234.312490
263213.011354
263216.373959
263242.158144
263288.325586
263307.568714
263415.971558
263491.792326
263537.993023
263534.539112
263554.126466
263549.205878
263567.459889
263561.327172
263578.479247
263571.344770
263587.586155
263647.805595
263725.277814
263772.979831
263839.072573
263853.702339
263957.911218
264075.373834
264159.430758
264258.573417
264371.430379
264496.754890
264587.958991
264693.599083
264721.453711
264792.230647
264811.118770
264782.835245
264711.668405
264692.425822
264720.387111
264723.079192
264680.071993
264663.701812
264694.274374
264699.340340
264681.218491
264642.016810
264629.106191
264685.551083
264714.137348
264762.852134
264784.411031
264758.555483
264757.777712
264688.888829
264694.444390
264676.767627
264683.425116
264666.750105
264628.863732
264617.148847
264629.226225
264662.932932
264648.120847
264657.382588
264643.075080
264607.340982
264506.673620
264437.885109
264398.077372
264407.343065
264370.311878
264313.919889
264239.927172
264127.206520
264092.915018
263993.559107
263857.781006
263757.073642
263642.794220
263493.449291
263312.226628
263102.024208
262956.385643
262846.714221
262724.285656
262590.259687
262445.690624
262359.718749
262372.471590
262338.610537
262376.009579
262387.281435
262420.255850
262427.505318
262479.550289
262549.591172
262590.537429
262650.488572
262750.444156
262818.585597
262903.259633
262957.508758
262961.371598
263010.337816
