Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2000-01-04,4274.17431640625,4274.17431640625,3959.3824273092264,4197.225187960311,74195000
2000-01-05,3903.416748046875,4239.1945328251,3861.4445249495966,4057.314899403562,74680000
2000-01-06,3931.399658203125,4043.3256271199402,3903.4181659739215,4022.3395079480374,54390000
2000-01-07,3875.435546875,3966.375370177121,3749.518868456679,3889.42628892148,40305000
2000-01-10,4036.329833984375,4036.329833984375,3903.41775972839,3917.408504386915,46880000
2000-01-11,4036.329833984375,4267.177120850032,4036.329833984375,4071.3066956306866,59745000
2000-01-12,4001.35400390625,4015.344752171656,3917.409514313811,3924.404888446514,29220000
2000-01-13,3994.35791015625,4015.3440287735334,3889.427317069834,3917.408808559545,41190000
2000-01-14,4078.3017578125,4113.278616798885,3973.371180853345,4001.352668042453,49375000
2000-01-17,4267.17724609375,4323.140226370389,4141.260540471311,4197.223520747951,63505000
2000-01-18,4267.17724609375,4309.14948130123,4183.232775678791,4309.14948130123,45260000
2000-01-19,4169.24267578125,4225.205664717911,4169.24267578125,4197.22417024958,40205000
2000-01-20,4225.20556640625,4225.20556640625,4071.3073504113204,4099.28884422858,37315000
2000-01-21,4113.279296875,4183.233026413691,4113.279296875,4162.246907552084,32535000
2000-01-24,3987.36279296875,4127.270259388706,3987.3627929687505,4057.3165261787285,34355000
2000-01-25,3805.48388671875,3945.391382553998,3805.4838867187495,3861.446885052849,44250000
2000-01-26,3833.46435546875,3861.445847114507,3784.4967450886747,3847.4551012916286,29285000
2000-01-27,3861.445556640625,3931.3992804928102,3798.4872051736584,3833.464067099751,27900000
2000-01-28,4071.306884765625,4113.279120691044,3875.436450447004,3945.3901769893687,38315000
2000-01-31,3903.416748046875,4008.3473057900705,3889.4260070144487,3945.388971144153,39630000
2000-02-01,3721.5380859375,3973.37149024906,3679.5658518855735,3917.408511513158,71470000
2000-02-02,3672.57080078125,3756.515276227679,3574.6355794270835,3651.584681919643,64105000
2000-02-03,3588.62744140625,3819.4748206779973,3476.7014393351,3672.571942959613,142765000
2000-02-04,3588.62744140625,3588.62744140625,3588.62744140625,3588.62744140625,0
2000-02-07,3665.576416015625,3728.534789573145,3525.6689192211356,3595.62266761838,64140000
