Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2026-03-10,187305.3125,190893.91880654602,183716.70619345395,187006.26197445448,33530170
2026-03-11,189398.671875,194183.48042763158,187105.95111019738,192389.17722039475,24311356
2026-03-12,187305.3125,189398.66617881853,185311.64232969665,186009.42688930282,20440753
2026-03-13,182919.25,185610.70490463215,179330.64346049045,179430.32697547684,19566331
2026-03-16,188102.78125,188401.83177662958,183018.9222972973,184015.75738606253,19747901
2026-03-17,193286.328125,197373.3520822589,192488.86003577875,197373.3520822589,20300082
2026-03-18,207840.125,208338.54256594722,199067.97583932852,199865.44394484413,25148481
2026-03-19,199865.4375,204351.1954488778,198968.28591022445,199267.33644014964,19884483
2026-03-20,198768.921875,201859.11073062939,198370.1878291123,201360.6931732698,35279762
2026-03-23,185710.375,190594.86688137412,185710.375,189897.08232689212,30268173
2026-03-24,189099.625,195379.68634686348,184912.91743542437,194881.26877965208,25458914
2026-03-25,188401.84375,195778.4238756614,188401.84375,193086.9689649471,22995904
2026-03-26,179530.0,185311.64353137146,178333.79789006108,184912.90949472514,32074131
2026-03-27,179530.0,181124.9361465852,171455.63575791227,171555.31926707385,29138966
2026-03-30,176105.78125,176455.39567675837,170412.06058564945,170811.61993051617,22269147
2026-03-31,167015.8125,174507.55050089714,166816.0328199761,169812.72802033494,38659593
2026-04-01,189441.078125,190589.81126417086,177803.91197600844,178802.81035789612,32390251
2026-04-02,178203.46875,193386.72393497758,174807.2143007287,192387.82556754485,38615231
2026-04-03,185994.875,186993.77336197637,182498.73073308272,183997.07827604725,20194447
2026-04-06,192887.28125,194385.62885163128,189890.58604673744,190689.70476760744,20635958
2026-04-07,196283.53125,202276.92151717556,192188.04790076334,201777.47232824427,30848053
2026-04-08,210268.109375,214263.7029023159,207271.41422951306,213764.25371140143,35890973
2026-04-09,203775.265625,207271.40988817404,201777.4689031863,206771.9607077206,42320839
2026-04-10,205773.0625,210767.5543082524,205273.61331917474,208270.3084041262,18244459
2026-04-13,200778.578125,202776.3749222637,197981.66260883084,197981.66260883084,19603415
2026-04-14,206272.515625,209768.65995762713,205273.61724424938,207770.8631961259,23672078
2026-04-15,210767.5625,215262.6053021327,209768.66409952607,214763.15610189573,24092884
2026-04-16,217260.40625,217759.8554597701,210268.1173132184,211766.46494252872,21499788
2026-04-17,215762.046875,217759.84360532407,214763.14850983795,216760.94524016202,18079322
2026-04-20,214263.703125,218758.7458479021,212765.35555069929,214263.703125,17107741
2026-04-21,218758.75,219757.64840182647,215762.05479452055,217759.85159817353,16752132
2026-04-22,217260.40625,222254.89834770115,215262.60941091954,218259.30466954023,16823480
2026-04-23,224252.6875,229247.17942650334,215762.0512249443,222754.339922049,34525485
2026-04-24,219258.203125,224752.1444333713,216261.50786588836,223753.2460136674,19626666
2026-04-27,224252.6875,225751.035077951,218259.29718819598,219757.644766147,22870374
2026-04-28,221755.4375,225751.03096846846,221255.98831644145,223753.23423423423,18444490
2026-04-29,225751.03125,227748.82798672566,218259.29348727877,219258.1918556416,20363756
2026-04-30,220257.09375,229746.62840136053,220257.09375,228747.7300170068,22161975
2026-05-04,232243.875,232243.875,223753.23870967742,227748.8322580645,32920816
2026-05-06,265706.96875,269702.56226503756,250723.493068609,253720.1882048872,53097996
2026-05-07,271200.90625,276694.8472605893,259713.57504604053,271700.35543278087,41404687
2026-05-08,268204.21875,269702.56634078216,259713.58240223466,259713.58240223466,25875880
2026-05-11,285185.5,288182.1952714536,279691.55866900174,284186.6015761821,36031094
2026-05-12,278692.65625,291178.8863687276,265706.97692652326,289680.53875448025,41211149
2026-05-13,283687.15625,285185.50390625,261711.390625,263709.1875,35540134
2026-05-14,295673.9375,299170.08203125,281689.359375,281689.359375,39314752
2026-05-15,270202.0,296173.35674676526,265706.95748613676,290679.41589648795,38075487
