Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Datetime,,,,,
2026-08-26 09:00:00+09:00,257000.0,257500.0,255500.0,256500.0,0
2026-08-26 09:01:00+09:00,259000.0,259000.0,257000.0,257000.0,192017
2026-08-26 09:02:00+09:00,259500.0,260500.0,258500.0,259000.0,174300
2026-08-26 09:03:00+09:00,258000.0,260000.0,257500.0,259500.0,120970
2026-08-26 09:04:00+09:00,259500.0,260000.0,258000.0,258500.0,99710
2026-08-26 09:05:00+09:00,258500.0,260000.0,258500.0,259250.0,98810
2026-08-26 09:06:00+09:00,259000.0,259500.0,258500.0,259000.0,86014
2026-08-26 09:07:00+09:00,259500.0,260000.0,258500.0,259000.0,73854
2026-08-26 09:08:00+09:00,260250.0,260500.0,259500.0,259500.0,61455
2026-08-26 09:09:00+09:00,260000.0,261000.0,260000.0,260250.0,102486
2026-08-26 09:10:00+09:00,260000.0,261000.0,259500.0,260000.0,81089
2026-08-26 09:11:00+09:00,260750.0,261000.0,260000.0,260250.0,71127
2026-08-26 09:12:00+09:00,260500.0,261000.0,260500.0,260750.0,21955
2026-08-26 09:13:00+09:00,260750.0,261000.0,260500.0,261000.0,33935
2026-08-26 09:14:00+09:00,260250.0,261000.0,260000.0,260750.0,109278
2026-08-26 09:15:00+09:00,262000.0,262500.0,260000.0,260250.0,196666
2026-08-26 09:16:00+09:00,262000.0,263000.0,262000.0,262000.0,106629
2026-08-26 09:17:00+09:00,262500.0,263000.0,262000.0,262000.0,61611
2026-08-26 09:18:00+09:00,263000.0,263500.0,262500.0,262500.0,100722
2026-08-26 09:19:00+09:00,262250.0,263500.0,262000.0,263250.0,78288
2026-08-26 09:20:00+09:00,262000.0,263000.0,262000.0,262250.0,86970
2026-08-26 09:21:00+09:00,262000.0,262500.0,261500.0,262000.0,86674
2026-08-26 09:22:00+09:00,261250.0,262250.0,261000.0,262250.0,54970
2026-08-26 09:23:00+09:00,261500.0,262000.0,261000.0,261500.0,36992
2026-08-26 09:24:00+09:00,260500.0,261500.0,260250.0,261500.0,74016
2026-08-26 09:25:00+09:00,259000.0,261000.0,259000.0,260500.0,96138
2026-08-26 09:26:00+09:00,260000.0,260000.0,259000.0,259500.0,22717
2026-08-26 09:27:00+09:00,259000.0,260000.0,259000.0,259750.0,50326
2026-08-26 09:28:00+09:00,259750.0,260000.0,258500.0,259500.0,68953
2026-08-26 09:29:00+09:00,259250.0,259750.0,259000.0,259500.0,25374
2026-08-26 09:30:00+09:00,260000.0,260000.0,259250.0,259250.0,34789
2026-08-26 09:31:00+09:00,259000.0,260000.0,258500.0,259750.0,71123
2026-08-26 09:32:00+09:00,259000.0,259500.0,258500.0,259000.0,45440
2026-08-26 09:33:00+09:00,259250.0,259500.0,258500.0,259000.0,80110
2026-08-26 09:34:00+09:00,259250.0,259750.0,259000.0,259250.0,33891
2026-08-26 09:35:00+09:00,259750.0,260000.0,258500.0,259000.0,49473
2026-08-26 09:36:00+09:00,258000.0,259750.0,258000.0,259500.0,95694
2026-08-26 09:37:00+09:00,258000.0,259000.0,257500.0,258000.0,125083
2026-08-26 09:38:00+09:00,258250.0,258500.0,258000.0,258000.0,23915
2026-08-26 09:39:00+09:00,257500.0,259000.0,257500.0,258250.0,51697
2026-08-26 09:40:00+09:00,258000.0,258500.0,257000.0,257500.0,86408
2026-08-26 09:41:00+09:00,258000.0,258500.0,257500.0,258000.0,45121
2026-08-26 09:42:00+09:00,258500.0,258500.0,258000.0,258000.0,11400
2026-08-26 09:43:00+09:00,258750.0,258750.0,258000.0,258000.0,24975
2026-08-26 09:44:00+09:00,258000.0,259000.0,257500.0,258750.0,69594
2026-08-26 09:45:00+09:00,257750.0,258250.0,257500.0,258000.0,31219
2026-08-26 09:46:00+09:00,258250.0,258500.0,257500.0,258000.0,32325
2026-08-26 09:47:00+09:00,258750.0,259000.0,258000.0,258000.0,20751
2026-08-26 09:48:00+09:00,258750.0,259000.0,258500.0,258750.0,14531
2026-08-26 09:49:00+09:00,258000.0,259000.0,258000.0,258750.0,61350
2026-08-26 09:50:00+09:00,258000.0,258500.0,257500.0,258000.0,37212
2026-08-26 09:51:00+09:00,257750.0,258500.0,257500.0,258000.0,51546
2026-08-26 09:52:00+09:00,256500.0,257750.0,256500.0,257750.0,71217
2026-08-26 09:53:00+09:00,256750.0,257000.0,256500.0,256750.0,28683
2026-08-26 09:54:00+09:00,256500.0,257000.0,256000.0,256500.0,85628
2026-08-26 09:55:00+09:00,256500.0,256500.0,256000.0,256000.0,28807
2026-08-26 09:56:00+09:00,257000.0,257500.0,256000.0,256250.0,84700
2026-08-26 09:57:00+09:00,257250.0,257500.0,257000.0,257000.0,8135
2026-08-26 09:58:00+09:00,257250.0,257500.0,257000.0,257000.0,19411
2026-08-26 09:59:00+09:00,255750.0,257500.0,255500.0,257250.0,135496
2026-08-26 10:00:00+09:00,257000.0,257500.0,255500.0,255750.0,199361
2026-08-26 10:01:00+09:00,257000.0,257500.0,256500.0,257000.0,42772
2026-08-26 10:02:00+09:00,257500.0,257500.0,257000.0,257000.0,24785
2026-08-26 10:03:00+09:00,257500.0,258000.0,257000.0,257500.0,56006
2026-08-26 10:04:00+09:00,258000.0,258500.0,257500.0,257500.0,41207
2026-08-26 10:05:00+09:00,258000.0,258000.0,257500.0,257500.0,36436
2026-08-26 10:06:00+09:00,257750.0,258500.0,257500.0,258000.0,25911
2026-08-26 10:07:00+09:00,257500.0,258000.0,257500.0,257500.0,23279
2026-08-26 10:08:00+09:00,257000.0,258000.0,257000.0,258000.0,44084
2026-08-26 10:09:00+09:00,257500.0,258000.0,257000.0,257500.0,45191
2026-08-26 10:10:00+09:00,258250.0,258500.0,257500.0,257500.0,29902
2026-08-26 10:11:00+09:00,258500.0,258500.0,258000.0,258250.0,11842
2026-08-26 10:12:00+09:00,258250.0,258500.0,257500.0,258250.0,37916
2026-08-26 10:13:00+09:00,258500.0,258500.0,258000.0,258250.0,10319
2026-08-26 10:14:00+09:00,258000.0,258500.0,257500.0,258500.0,36248
2026-08-26 10:15:00+09:00,258250.0,258500.0,257500.0,258000.0,43707
2026-08-26 10:16:00+09:00,258750.0,259500.0,258000.0,258500.0,53491
2026-08-26 10:17:00+09:00,259000.0,259500.0,258500.0,259000.0,47074
2026-08-26 10:18:00+09:00,258500.0,259000.0,258500.0,258750.0,13180
2026-08-26 10:19:00+09:00,259000.0,259000.0,258500.0,258500.0,18190
2026-08-26 10:20:00+09:00,259250.0,259500.0,258500.0,258750.0,23696
2026-08-26 10:21:00+09:00,259000.0,259500.0,258500.0,259250.0,39471
2026-08-26 10:22:00+09:00,258500.0,259000.0,258500.0,258750.0,6668
2026-08-26 10:23:00+09:00,258500.0,258750.0,258000.0,258500.0,41968
2026-08-26 10:24:00+09:00,257500.0,258500.0,257500.0,258500.0,43028
2026-08-26 10:25:00+09:00,256750.0,258000.0,256500.0,257500.0,56396
2026-08-26 10:26:00+09:00,256750.0,257000.0,256500.0,256750.0,10931
2026-08-26 10:27:00+09:00,257000.0,257500.0,256500.0,256750.0,53950
2026-08-26 10:28:00+09:00,257250.0,257500.0,256750.0,256750.0,37777
2026-08-26 10:29:00+09:00,257250.0,258000.0,257000.0,257250.0,41171
2026-08-26 10:30:00+09:00,256750.0,257500.0,256500.0,257500.0,26284
2026-08-26 10:31:00+09:00,256750.0,257000.0,256500.0,256500.0,41397
2026-08-26 10:32:00+09:00,258000.0,258500.0,256750.0,256750.0,63585
2026-08-26 10:33:00+09:00,257500.0,258500.0,257000.0,257750.0,62493
2026-08-26 10:34:00+09:00,257000.0,257500.0,256500.0,257250.0,21667
2026-08-26 10:35:00+09:00,258000.0,258000.0,256500.0,257000.0,53645
2026-08-26 10:36:00+09:00,258000.0,258500.0,257000.0,257500.0,51145
2026-08-26 10:37:00+09:00,258000.0,258500.0,258000.0,258000.0,9959
2026-08-26 10:38:00+09:00,258500.0,258500.0,258000.0,258000.0,8105
2026-08-26 10:39:00+09:00,258500.0,258500.0,258000.0,258000.0,7411
2026-08-26 10:40:00+09:00,257750.0,258500.0,257000.0,258000.0,44279
2026-08-26 10:41:00+09:00,257250.0,257750.0,257000.0,257500.0,8979
2026-08-26 10:42:00+09:00,257500.0,257500.0,257000.0,257250.0,6840
2026-08-26 10:43:00+09:00,257250.0,257500.0,257000.0,257250.0,10512
2026-08-26 10:44:00+09:00,257500.0,257500.0,257000.0,257250.0,9121
2026-08-26 10:45:00+09:00,257250.0,257500.0,257250.0,257250.0,8878
2026-08-26 10:46:00+09:00,256500.0,257500.0,256000.0,257250.0,75609
2026-08-26 10:47:00+09:00,256500.0,257000.0,256250.0,256250.0,36886
2026-08-26 10:48:00+09:00,257000.0,257000.0,256500.0,257000.0,10882
2026-08-26 10:49:00+09:00,256500.0,257500.0,256500.0,257000.0,54065
2026-08-26 10:50:00+09:00,257000.0,257500.0,256000.0,256500.0,50413
2026-08-26 10:51:00+09:00,257500.0,257500.0,256500.0,257000.0,26598
2026-08-26 10:52:00+09:00,257500.0,258000.0,257000.0,257250.0,34473
2026-08-26 10:53:00+09:00,257500.0,258000.0,257500.0,257500.0,12147
2026-08-26 10:54:00+09:00,258000.0,258500.0,257500.0,257500.0,31918
2026-08-26 10:55:00+09:00,258250.0,259000.0,258000.0,258000.0,59246
2026-08-26 10:56:00+09:00,258500.0,258500.0,258000.0,258250.0,20924
2026-08-26 10:57:00+09:00,258250.0,258500.0,258000.0,258250.0,8322
